"image","xmin","ymin","xmax","ymax","label"
"safe-101.jpg",848.8139825218477,357.0797962648557,1189.5999141697878,566.4584040747029,"safe"
"safe-101.jpg",925.8670802122347,151.75891341256366,1087.3527231585517,340.03735144312395,"safe"
"safe-101.jpg",1002.9582162921348,2.434634974533107,1093.0331226591761,152.5704584040747,"safe"
"safe-101.jpg",722.9956694756554,190.71307300509338,920.9981663545568,356.2682512733446,"safe"
"safe-101.jpg",548.5642946317104,559.9660441426146,969.6873049313358,839.1375212224109,"safe"
"safe-101.jpg",830.9232599875156,639.4974533106961,1290.2241338951312,865.918505942275,"safe"
"safe-101.jpg",421.9725343320849,413.07640067911717,862.5712000624219,631.3820033955858,"safe"
"safe-101.jpg",486.85334737827714,258.88285229202035,631.3358302122347,548.6044142614601,"safe"
"safe-101.jpg",451.1479790886392,199.64006791171477,640.2241338951311,275.11375212224107,"safe"
"safe-101.jpg",595.6304619225967,172.04753820033955,793.594920411985,355.4567062818336,"safe"
"safe-101.jpg",1129.5499765917602,154.19354838709677,1294.2815621098625,288.91001697792865,"safe"
"safe-101.jpg",777.3652075530587,38.14261460101868,1108.451349875156,150.94736842105263,"safe"
"safe-100.jpg",55.14298533083645,529.9388794567063,791.1604634831461,848.0645161290323,"safe"
"safe-100.jpg",814.7315855181024,496.6655348047538,1289.4126482521847,843.195246179966,"safe"
"safe-100.jpg",270.1866807116105,228.85568760611204,607.7647081772784,386.295415959253,"safe"
"safe-100.jpg",133.85709269662922,4.869269949066214,369.1879291510612,167.17826825127335,"safe"
"safe-100.jpg",90.03686797752809,116.0509337860781,339.97444600499375,286.47538200339557,"safe"
"safe-100.jpg",315.62987671660426,42.20033955857385,444.6560939450687,243.4634974533107,"safe"
"safe-100.jpg",585.8545958177278,175.2937181663837,962.383934144819,367.6298811544992,"safe"
"safe-100.jpg",557.4525983146067,354.64516129032256,1132.7959191635455,572.9507640067911,"safe"
