image,xmin,ymin,xmax,ymax,label,width,height
harm-1.jpeg,116.8760991,168.9371817,433.99216,490.9736842,harm,1000,691
harm-1.jpeg,586.7526377,347.2597623,856.975381,470.4431239,harm,1000,691
harm-1.jpeg,390.0296747,369.5500849,618.048432,477.4821732,harm,1000,691
harm-1.jpeg,392.960507,306.7852292,560.0179513,394.1867572,harm,1000,691
harm-10.jpeg,207.1832579,214.2614601,349.3778281,315.7894737,harm,600,400
harm-10.jpeg,180.0339367,132.4278438,318.4954751,221.7317487,harm,600,400
harm-10.jpeg,332.7488688,161.6298812,424.3778281,249.5755518,harm,600,400
harm-10.jpeg,318.3257919,118.1663837,409.1063348,172.8353141,harm,600,400
harm-10.jpeg,261.4819005,75.3820034,343.6085973,133.4465195,harm,600,400
harm-10.jpeg,184.1063348,65.19524618,261.3122172,118.8455008,harm,600,400
harm-10.jpeg,219.4004525,7.130730051,308.6538462,58.06451613,harm,600,400
harm-10.jpeg,294.739819,34.97453311,370.418552,84.21052632,harm,600,400
harm-100.jpg,253.8883029,63.66808149,483.1308144,267.8327674,harm,617,419
harm-100.jpg,506.2327729,216.2580645,617,290.5967742,harm,617,419
harm-100.jpg,432.3065056,256.450764,590.4660678,366.7139219,harm,617,419
harm-100.jpg,330.3024734,285.6171477,439.7702153,394.8132428,harm,617,419
harm-100.jpg,27.84452405,43.03820034,233.6296623,250.0483871,harm,617,419
harm-100.jpg,173.5645701,278.147708,293.6947545,374.5390492,harm,617,419
harm-100.jpg,50.23565308,288.8183362,139.4447545,345.7283531,harm,617,419
harm-100.jpg,273.4361139,295.9320883,341.3203305,371.6935484,harm,617,419
harm-101.jpg,1058.13924,607.8471986,1170.935744,709.2903226,harm,1300,956
harm-101.jpg,691.3477294,459.3344652,826.0543461,645.1782683,harm,1300,956
harm-101.jpg,887.727255,359.5144312,980.2366183,460.1460102,harm,1300,956
harm-101.jpg,495.7796895,443.9151104,628.0518493,592.4278438,harm,1300,956
harm-101.jpg,238.5387406,519.3887946,540.4113998,706.0441426,harm,1300,956
harm-101.jpg,353.7697019,747.4329372,556.6411127,858.614601,harm,1300,956
harm-101.jpg,289.6623361,99.00848896,366.7534722,170.4244482,harm,1300,956
harm-101.jpg,836.6036595,534.8081494,912.8833099,600.5432937,harm,1300,956
harm-101.jpg,748.96321,0.811544992,1158.76346,263.7521222,harm,1300,956
harm-102.jpg,255.6635071,69.82003396,618.507109,377.179966,harm,640,447
harm-102.jpg,11.87203791,72.4762309,347.7962085,351.7563667,harm,640,447
